From_Halte;To_Halte;Jarak_km;Koridor
H02_01;H02_02;2.70;2
H02_02;H02_03;3.20;2
H02_03;H02_04;7.40;2
H02_04;H02_05;1.80;2
H02_05;H02_06;3.60;2
H02_06;H02_07;4.20;2
H02_07;H02_08;1.00;2
H02_08;H02_09;2.60;2
H02_09;H02_10;0.85;2
H02_10;H02_11;1.80;2
H02_11;H02_12;3.20;2
H02_12;H02_13;1.40;2
H02_13;H02_14;2.30;2
H02_14;H02_15;1.20;2
H02_15;H02_16;1.00;2
H02_16;H02_17;1.40;2
H02_17;H02_18;1.30;2
H02_18;H02_19;0.95;2
H02_19;H02_20;3.20;2
