Kode_Halte;Nama_Halte;Latitude;Longitude;Koridor
H06_01;Terminal_Porong;-7.538896;112.696045;6
H06_02;Shelter_Arteri_Porong;-7.539237;112.685131;6
H06_03;Rambu_Gempol1;-7.554312;112.695062;6
H06_04;Rambu_Apollo;-7.578530;112.690884;6
H06_05;Rambu_Japanan1;-7.564041;112.690757;6
H06_06;Rambu_Carat1;-7.562219;112.682401;6
H06_07;Shelter_Nglawang1;-7.568441;112.674010;6
H06_08;Shelter_PUSDIK_BRIMOB1;-7.566713;112.658000;6
H06_09;Rambu_Watesnegoro1;-7.564237;112.647659;6
H06_10;Shelter_Manduro1;-7.562584;112.640379;6
H06_11;Rambu_Wonosari1;-7.559540;112.632689;6
H06_12;Rambu_Kecapangan;-7.555866;112.625820;6
H06_13;Rambu_Ngoro_Industri;-7.552795;112.619503;6
H06_14;Shelter_Kembangsri;-7.540064;112.622624;6
H06_15;Rambu_Jajar;-7.532705;112.616306;6
H06_16;Rambu_Raya_Jasem1;-7.529875;112.601277;6
H06_17;Rambu_Pungging;-7.525213;112.583274;6
H06_18;Terminal_Mojosari;-7.522833;112.575051;6
H06_19;Shelter_Hayam_Wuruk1;-7.519275;112.562077;6
H06_20;Rambu_Pasar_Legi;-7.514605;112.556170;6
H06_21;Shelter_Stadion1;-7.511896;112.548563;6
H06_22;Rambu_Polres_Mojokerto1;-7.509350;112.539620;6
H06_23;Shelter_Gapura_Perbatasan1;-7.506430;112.531639;6
H06_24;Rambu_Mojoroto1;-7.505033;112.526273;6
H06_25;Rambu_Pustu_Ngrowo1;-7.501778;112.517774;6
H06_26;Rambu_Ngrowo_Pendowo1;-7.500289;112.509216;6
H06_27;Shelter_RS_Sido_Waras;-7.499113;112.498826;6
H06_28;Rambu_Bangsal1;-7.497829;112.478555;6
H06_29;Rambu_Jabon1;-7.494906;112.458892;6
H06_30;Terminal_Kertajaya;-7.491291;112.448998;6
